Complaint ID,Date Received,Product,Sub-product,Issue,Company,State,Consumer Complaint Narrative,Company Response to Consumer,Timely Response?,Consumer Disputed?
5005319,27-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Pioneer Community Bank,NM,,Closed with explanation,Yes,No
5005391,27-06-2024,Credit card,Store credit card,Problem with a purchase,NorthRiver Banking,NJ,,Closed with monetary relief,Yes,Yes
5006410,27-06-2024,Mortgage,Conventional home mortgage,Loan servicing,NorthRiver Banking,AR,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007236,27-06-2024,Credit card,General-purpose credit card,Billing disputes,Sterling Financial Group,NY,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5007541,27-06-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Summit Financial Corp,CA,"I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
5008861,27-06-2024,Checking or savings account,Checking account,Deposits and withdrawals,NorthRiver Banking,TX,,Closed with explanation,Yes,No
5002010,28-06-2024,Credit card,Store credit card,Billing disputes,Summit Financial Corp,AZ,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5002142,28-06-2024,Credit card,General-purpose credit card,Billing disputes,Vanguard Mutual,OK,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002287,28-06-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,IL,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5004316,28-06-2024,Credit card,General-purpose credit card,Billing disputes,Crescent Federal,OK,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5004586,28-06-2024,Credit card,General-purpose credit card,Problem with a purchase,Pioneer Community Bank,LA,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5005075,28-06-2024,Checking or savings account,Checking account,Bank fees,BlueStone Capital,NE,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5005273,28-06-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,SD,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5005417,28-06-2024,Debt collection,Credit card debt,Communication tactics,Pioneer Community Bank,ID,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,
5005742,28-06-2024,Checking or savings account,Checking account,Deposits and withdrawals,BlueStone Capital,TX,,Closed with non-monetary relief,Yes,No
5006936,28-06-2024,Checking or savings account,Savings account,Deposits and withdrawals,Sterling Financial Group,ID,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5008150,28-06-2024,Debt collection,Medical debt,Communication tactics,Evergreen National,NV,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5008329,28-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Crescent Federal,MN,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5008943,28-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Crescent Federal,VT,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009238,28-06-2024,Mortgage,Conventional home mortgage,Loan servicing,NorthRiver Banking,MO,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5009272,28-06-2024,Credit card,General-purpose credit card,Billing disputes,NorthRiver Banking,NY,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009701,28-06-2024,Debt collection,Credit card debt,Communication tactics,Sterling Financial Group,FL,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000082,29-06-2024,Credit card,General-purpose credit card,Problem with a purchase,Vanguard Mutual,IL,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000876,29-06-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,NorthRiver Banking,OK,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5002380,29-06-2024,Mortgage,Conventional home mortgage,Loan servicing,Evergreen National,TX,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5002591,29-06-2024,Credit card,General-purpose credit card,Billing disputes,Liberty Trust Bank,TN,"I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with monetary relief,Yes,No
5003652,29-06-2024,Checking or savings account,Checking account,Deposits and withdrawals,Vanguard Mutual,TX,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5004151,29-06-2024,Checking or savings account,Savings account,Managing an account,NorthRiver Banking,AL,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5004387,29-06-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Vanguard Mutual,AR,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5004428,29-06-2024,Credit card,Store credit card,Incorrect balance,Liberty Trust Bank,CO,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5004572,29-06-2024,Mortgage,FHA mortgage,Loan servicing,Evergreen National,FL,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5004761,29-06-2024,Debt collection,Medical debt,False statements,Apex Horizon Bank,WY,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5005960,29-06-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Vanguard Mutual,LA,"I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with monetary relief,Yes,Yes
5007383,29-06-2024,Debt collection,Medical debt,False statements,Sterling Financial Group,NJ,,In progress,Yes,No
5007634,29-06-2024,Credit card,Store credit card,Billing disputes,Sterling Financial Group,NC,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5009144,29-06-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Evergreen National,OR,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5009269,29-06-2024,Checking or savings account,Checking account,Managing an account,BlueStone Capital,GA,,Closed with explanation,Yes,
5009357,29-06-2024,Checking or savings account,Savings account,Managing an account,Evergreen National,CA,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5000030,30-06-2024,Credit card,General-purpose credit card,Incorrect balance,Pioneer Community Bank,NY,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, taking advantage of my situation. I expect the company to correct the error.",Closed with non-monetary relief,Yes,
5000567,30-06-2024,Checking or savings account,Savings account,Deposits and withdrawals,Summit Financial Corp,MA,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5000993,30-06-2024,Credit card,General-purpose credit card,Fees or interest,Liberty Trust Bank,NY,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5001120,30-06-2024,Credit card,General-purpose credit card,Billing disputes,Summit Financial Corp,TX,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5002727,30-06-2024,Debt collection,Credit card debt,False statements,NorthRiver Banking,FL,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003386,30-06-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Evergreen National,FL,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006418,30-06-2024,Credit card,General-purpose credit card,Billing disputes,NorthRiver Banking,RI,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5007710,30-06-2024,Credit card,General-purpose credit card,Billing disputes,NorthRiver Banking,AZ,"I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",In progress,Yes,No
5007948,30-06-2024,Checking or savings account,Checking account,Deposits and withdrawals,Evergreen National,VA,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5008582,30-06-2024,Credit card,General-purpose credit card,Billing disputes,Evergreen National,TX,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5008642,30-06-2024,Checking or savings account,Checking account,Bank fees,Sterling Financial Group,FL,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009929,30-06-2024,Credit card,Store credit card,Fees or interest,Vanguard Mutual,TX,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,Yes
5001276,01-07-2024,Debt collection,Medical debt,False statements,Pioneer Community Bank,FL,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5001773,01-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Liberty Trust Bank,WA,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002323,01-07-2024,Debt collection,Credit card debt,Communication tactics,Apex Horizon Bank,ID,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5002423,01-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Crescent Federal,MN,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5002477,01-07-2024,Credit card,General-purpose credit card,Fees or interest,Liberty Trust Bank,SD,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5002688,01-07-2024,Checking or savings account,Checking account,Bank fees,Evergreen National,MO,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003578,01-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Apex Horizon Bank,PA,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5004744,01-07-2024,Credit card,General-purpose credit card,Incorrect balance,Sterling Financial Group,FL,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5005090,01-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,NorthRiver Banking,AZ,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5005289,01-07-2024,Credit card,General-purpose credit card,Fees or interest,Sterling Financial Group,OK,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5007786,01-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Vanguard Mutual,IN,"I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. During this process, unauthorized fee took all my money. I expect the company to correct the error.",Closed with non-monetary relief,Yes,Yes
5008397,01-07-2024,Mortgage,Conventional home mortgage,Escrow account,Crescent Federal,MI,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5008761,01-07-2024,Checking or savings account,Checking account,Managing an account,Liberty Trust Bank,NC,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000230,02-07-2024,Debt collection,Credit card debt,False statements,Sterling Financial Group,TN,"I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with non-monetary relief,Yes,Yes
5001098,02-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Liberty Trust Bank,SD,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002140,02-07-2024,Checking or savings account,Checking account,Deposits and withdrawals,BlueStone Capital,TX,I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5002176,02-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Sterling Financial Group,GA,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,No,No
5003388,02-07-2024,Checking or savings account,Checking account,Managing an account,Sterling Financial Group,AZ,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5003965,02-07-2024,Checking or savings account,Checking account,Managing an account,Pioneer Community Bank,SD,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,No
5004192,02-07-2024,Credit card,Store credit card,Billing disputes,Liberty Trust Bank,MO,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5005869,02-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Crescent Federal,NY,"I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",Closed with non-monetary relief,No,Yes
5005934,02-07-2024,Credit card,General-purpose credit card,Incorrect balance,BlueStone Capital,LA,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5008357,02-07-2024,Credit card,General-purpose credit card,Billing disputes,Sterling Financial Group,NV,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5008704,02-07-2024,Debt collection,Credit card debt,Communication tactics,BlueStone Capital,FL,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5008864,02-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,NorthRiver Banking,AL,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009558,02-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Pioneer Community Bank,OH,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5009920,02-07-2024,Debt collection,Medical debt,False statements,Liberty Trust Bank,GA,,Closed with explanation,Yes,
5000002,03-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,BlueStone Capital,OR,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5000049,03-07-2024,Debt collection,Credit card debt,Attempts to collect debt not owed,NorthRiver Banking,CT,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5000475,03-07-2024,Credit card,General-purpose credit card,Incorrect balance,NorthRiver Banking,WY,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with non-monetary relief,Yes,Yes
5000713,03-07-2024,Credit card,Store credit card,Billing disputes,BlueStone Capital,ME,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5000769,03-07-2024,Credit card,General-purpose credit card,Billing disputes,Crescent Federal,TX,"I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",In progress,Yes,
5001014,03-07-2024,Mortgage,Conventional home mortgage,Struggling to pay mortgage,Summit Financial Corp,OH,"I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with explanation,Yes,Yes
5001602,03-07-2024,Debt collection,Credit card debt,False statements,Liberty Trust Bank,FL,I am filing this complaint because of false statements. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5001606,03-07-2024,Credit card,Store credit card,Incorrect balance,Evergreen National,CA,I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,No
5001772,03-07-2024,Credit card,General-purpose credit card,Incorrect balance,NorthRiver Banking,TX,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with monetary relief,Yes,
5002840,03-07-2024,Credit card,General-purpose credit card,Billing disputes,Evergreen National,LA,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5003241,03-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Apex Horizon Bank,MD,I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,
5003932,03-07-2024,Checking or savings account,Savings account,Managing an account,Summit Financial Corp,NY,"I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. During this process, bait and switch interest rates. I expect the company to correct the error.",In progress,Yes,No
5004541,03-07-2024,Mortgage,Conventional home mortgage,Escrow account,Pioneer Community Bank,NE,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5005487,03-07-2024,Mortgage,FHA mortgage,Struggling to pay mortgage,Sterling Financial Group,NY,I am filing this complaint because of struggling to pay mortgage. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5006689,03-07-2024,Credit card,General-purpose credit card,Incorrect balance,NorthRiver Banking,CA,"I am filing this complaint because of incorrect balance. Customer service kept transferring me without resolving the issue. During this process, misled by the representative. I expect the company to correct the error.",Closed with non-monetary relief,Yes,No
5007143,03-07-2024,Credit card,General-purpose credit card,Fees or interest,Apex Horizon Bank,FL,I am filing this complaint because of fees or interest. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,
5007833,03-07-2024,Credit card,Store credit card,Problem with a purchase,NorthRiver Banking,TX,"I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with explanation,Yes,No
5008021,03-07-2024,Checking or savings account,Checking account,Managing an account,Pioneer Community Bank,TX,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5009279,03-07-2024,Checking or savings account,Checking account,Deposits and withdrawals,BlueStone Capital,CA,"I am filing this complaint because of deposits and withdrawals. Customer service kept transferring me without resolving the issue. During this process, misled by the representative. I expect the company to correct the error.",Closed with explanation,Yes,No
5009529,03-07-2024,Mortgage,Conventional home mortgage,Escrow account,Summit Financial Corp,WA,"I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. During this process, taking advantage of my situation. I expect the company to correct the error.",Closed with explanation,Yes,No
5009937,03-07-2024,Mortgage,Conventional home mortgage,Escrow account,Summit Financial Corp,NC,I am filing this complaint because of escrow account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,No
5000873,04-07-2024,Mortgage,Conventional home mortgage,Loan servicing,NorthRiver Banking,ME,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5001959,04-07-2024,Checking or savings account,Checking account,Bank fees,Pioneer Community Bank,SD,I am filing this complaint because of bank fees. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5002946,04-07-2024,Checking or savings account,Checking account,Managing an account,BlueStone Capital,MT,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5005561,04-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Evergreen National,WY,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,Yes
5006153,04-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Liberty Trust Bank,CA,"I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. During this process, charged without my consent. I expect the company to correct the error.",Closed with non-monetary relief,Yes,Yes
5006577,04-07-2024,Checking or savings account,Checking account,Funds availability,BlueStone Capital,FL,,Closed with non-monetary relief,Yes,Yes
5007061,04-07-2024,Mortgage,Conventional home mortgage,Loan servicing,Pioneer Community Bank,NE,I am filing this complaint because of loan servicing. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,
5007404,04-07-2024,Debt collection,Credit card debt,Communication tactics,Summit Financial Corp,KS,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,No
5007444,04-07-2024,Credit card,General-purpose credit card,Billing disputes,Summit Financial Corp,IN,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
5008321,04-07-2024,Credit card,General-purpose credit card,Problem with a purchase,Pioneer Community Bank,OH,"I am filing this complaint because of problem with a purchase. Customer service kept transferring me without resolving the issue. During this process, the fine print completely lied. I expect the company to correct the error.",Closed with monetary relief,Yes,No
5008333,04-07-2024,Credit card,General-purpose credit card,Billing disputes,NorthRiver Banking,MA,I am filing this complaint because of billing disputes. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5008687,04-07-2024,Debt collection,Medical debt,Attempts to collect debt not owed,Summit Financial Corp,CA,I am filing this complaint because of attempts to collect debt not owed. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with non-monetary relief,Yes,No
5008829,04-07-2024,Checking or savings account,Savings account,Managing an account,Liberty Trust Bank,FL,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,No,No
5000093,05-07-2024,Checking or savings account,Checking account,Funds availability,Evergreen National,NJ,"I am filing this complaint because of funds availability. Customer service kept transferring me without resolving the issue. During this process, taking advantage of my situation. I expect the company to correct the error.",Closed with monetary relief,Yes,
5001973,05-07-2024,Checking or savings account,Checking account,Managing an account,Pioneer Community Bank,NE,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,In progress,Yes,Yes
5002424,05-07-2024,Checking or savings account,Savings account,Managing an account,Sterling Financial Group,GA,I am filing this complaint because of managing an account. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with monetary relief,Yes,
5002536,05-07-2024,Debt collection,Medical debt,Communication tactics,Crescent Federal,PA,I am filing this complaint because of communication tactics. Customer service kept transferring me without resolving the issue. I expect the company to correct the error.,Closed with explanation,Yes,No
